CODE,DOMES,STATION DESCRIPTION,LAT,LONG,HEIGHT
0BIS,M,0BIS ,57.72505556,11.89191667,131.5
0FRL,M,0FRL ,57.65025,11.91219444,112.7
0HDG,M,0HDG ,59.22172222,17.93408333,107.5
0HNA,M,0HNA ,60.53488889,17.88005556,42.3
0KRO,M,0KRO ,57.68022222,11.9845,127.5
0KTH,M,0KTH ,59.34991667,18.06938889,75.4
0LOD,M,0LOD ,55.76694444,12.99575,56.4
0MOS,M,0MOS ,59.31841667,18.07422222,91.4
0OKC,M,0OKC ,57.25194444,16.46536111,52.3
0SKL,M,0SKL ,55.47488889,14.27936111,58.1
0SKN,M,0SKN ,55.41377778,12.85794444,48.6
0STR,M,0STR ,58.93663889,11.18133333,76.8
0TYR,M,0TYR ,59.22194444,18.20558333,71.2
0VAR,M,0VAR ,57.10127778,12.25713889,78.2
0VIB,M,0VIB ,62.37380556,17.42775,150.1
0YST,M,0YST ,55.43263889,13.83636111,51
1BAG,M,1BAG ,57.72091667,12.01875,118.4
1GAT,M,1GAT ,60.66675,17.13163889,56.3
4GAV,M,4GAV ,60.66677778,17.13169444,56.2
5GAV,M,5GAV ,60.66652778,17.13238889,55.8
7601,M,METG_2PS ,60.24197222,24.38416667,59.7
AB01,49237M001,AtkaIslandAK2007 UNIT,52.2095,185.79525,25.5
AB02,70204M001,Nikolski__AK2007 ALAS,52.97061111,191.1453333,192.8
AB09,49419M001,Wales - Alaska U NITED,65.61497222,191.9378611,162.1
AB11,40421M002,Nome UNITED STAT ES OF,64.5645,194.6265278,349.4
AB15,70202M001,Nyac_Gold_AK2006 ALAS,61.03975,200.1216389,560.3
AB21,49381M001,Adak UNITED STAT ES OF,51.86413889,183.3373611,59.4
AB27,49256M001,Kobuk_VallAK2007 UNIT,67.05588889,203.0951111,508.1
AB45,49238M001,SagRivrDOTAK2007 UNIT,68.7605,211.1288611,507
AB51,49233M001,PetersburgAK2005 UNIT,56.79761111,227.0864444,76
ABMF,97103M001,Les Abymes - Raiz et ai,16.26230556,298.4724722,-25.5
ABPO,33302M001,Ambohimpanompo M ADAGA,-19.01830556,47.22922222,1553
AC02,70207M001,AkhiokCorpAK2005 ALAS,56.95058333,205.8169444,126.9
AC24,49239M001,KingsalmonAK2006 UNIT,58.68158333,203.34725,36.4
AC25,70206M001,King_Cove_AK2005 ALAS,55.08897222,197.6859444,584.3
AC40,70205M001,PortHeidenAK2007 ALAS,56.93036111,201.3814167,39.9
AC58,49257M001,StPaulIsldAK2008 UNIT,57.15608333,189.7821667,19.4
AC67,49380M001,Kodiak - Pillar M ounta,57.79072222,207.5745556,347.3
AC79,M,Montague2_AK2010 ,59.99786111,212.5969444,287.8
ACOR,13434M001,A Coruna SPAIN ,43.36438889,351.6010833,66.9
ADIS,31502M001,Addis Ababa Unive rsity,9.035138889,38.76630556,2437.1
ADRI,49637S001,Adrian Michigan UNIT,41.919,275.9757222,205.9
AHID,49202M001,AHID_EBRY_ID2000 UNIT,42.77311111,248.93625,1975.5
AIRA,21742S001,AIRA JAPAN ,31.82405556,130.5996111,312.7
AJAC,10077M005,Ajaccio FRANCE ,41.92747222,8.762611111,96.9
AL90,70101M001,ALDOT 9 DIV OFF ALABA,30.69083333,271.9682778,-17.4
AL92,49271M001,ALDOT 9 DIV DIS 2  UNI,30.91638889,272.2243056,60.9
ALBH,40129M003,VICTORIA/SIDNEY CANAD,48.38977778,236.5125278,29.9
ALBY,50191M001,Albany AUSTRALIA ,-34.95022222,117.8101944,36.6
ALDI,49396M001,Dauphin Island - Alaba,30.24916667,271.9220278,-19.2
ALGO,40104M002,Algonquin CANADA ,45.95580556,281.9286389,199.1
ALIC,50137M001,Alice springs - T elegr,-23.67011111,133.8855278,601.3
ALME,13437M001,Almeria SPAIN ,36.85252778,357.5405556,127.5
ALON,20719M001,Ashkelon - Waste treat,31.70794444,34.60663889,55.7
AMC4,40472S005,Colorado springs UNIT,38.80311111,255.4754167,1911.4
ANC2,49268M001,ANC AIRPORT 2 UN ITED,61.17522222,210.0165556,57.9
ANCN,19007M003,Ancona ITALY ,43.60713889,13.53161111,214
AND1,10365M001,Andenes NORWAY ,69.32605556,16.13480556,44.2
ANLX,19163M001,Angle UNITED KIN GDOM,51.68930556,354.9208333,73.9
ANMG,22720M001,Banting MALAYSIA ,2.784638889,101.5066111,14.9
ANTC,41713S001,Antuco CHILE ,-37.33869444,288.4679444,745.4
AREG,42202M008,Arequipa PERU ,-16.46541667,288.5070833,2489.4
AREQ,42202M005,Arequipa PERU ,-16.46552778,288.5071944,2486.9
ARGI,10117M002,Thorshavn FAROE (FAER,61.99736111,353.2164722,110.2
ARHT,66001M005,Mac Murdo ANTART ICA,-77.82944444,166.6636667,135.3
ARUC,12312M002,Yerevan ARMENIA ,40.28572222,44.08558333,1222.2
ASCG,30602M004,Ascension III BR ITISH,-7.916277778,345.6673333,36
ASPA,50503S006,AMERICAN SAMOA A MERIC,-14.32608333,189.2775556,53.5
AUCK,50209M001,Auckland NEW ZEA LAND,-36.60283333,174.8343889,132.7
AUTF,41515S001,Ushuaia I ARGENT INA,-54.83952778,291.6964444,71.9
BADG,12338M002,Badary RUSSIA ,51.76969444,102.235,809.5
BAIE,40151M001,Baie Comeau CANA DA,49.18683333,291.7366667,27.6
BAKE,40152M001,BAKER LAKE CANAD A,64.31783333,263.9976667,4.5
BAKO,23101M002,Cibinong INDONES IA,-6.491055556,106.8489167,158.1
BAMF,40190M001,Bamfield CANADA ,48.83533333,234.8648889,10.8
BARH,49927S001,BAR HARBOR UNITE D STA,44.39505556,291.7783056,6.8
BAUT,14102M001,BAUTZEN GERMANY ,51.19233333,14.52172222,211.8
BELE,41622M001,Belem BRAZIL ,-1.408805556,311.5374444,9
BET1,49250M001,Bethel Waas UNIT ED ST,60.78791667,198.1582778,51.7
BHR3,24901S002,BAHREIN (JUFFAR) BAHR,26.20913889,50.60813889,-13.9
BHR4,24901S002,BAHREIN (JUFFAR) BAHR,26.20913889,50.60813889,-13.9
BIAZ,10074M002,Biarritz FRANCE ,43.47197222,358.4630833,121.4
BIK0,12358M003,Bishkek KYRGYZ R EPUBL,42.85419444,74.53319444,743
BILL,M,Lake Skinner ,33.57825,242.9353889,470
BJFS,21601M001,BEIJING CHINA ,39.60861111,115.8925,87.5
BLUF,50234M001,Bluff NEW ZEALAN D,-46.58505556,168.2920833,124.6
BLW2,49219M001,BLW2_EBRY_WY2003 UNIT,42.76713889,250.4421944,2215.6
BOAV,41636M001,Boa Vista BRAZIL ,2.845194444,299.2988889,69.5
BOGT,41901M001,Bogota COLOMBIA ,4.640083333,285.9190556,2576.6
BOR1,12205M002,Borowiec POLAND ,52.27697222,17.07347222,124.4
BORJ,14268M002,Borkum GERMANY ,53.57891667,6.666444444,53
BRAZ,41606M001,Brasilia BRAZIL ,-15.94747222,312.1221389,1106
BREW,40473M001,BREWSTER UNITED STATE,48.13152778,240.3173611,238.6
BRO1,50176M003,Broome AUSTRALIA ,-18.00397222,122.2090833,42.2
BRST,10004M004,Brest FRANCE ,48.3805,355.5034167,65.8
BRUX,13101M010,Brussels Ukkle - Royal,50.79805556,4.358555556,156.3
BSHM,20705M001,HAIFA ISRAEL ,32.779,35.023,223.1
BSMK,49636S001,Bismark North Da kota,46.82113889,259.1833056,551.2
BUCU,11401M001,Bucarest ROMANIA ,44.46394444,26.12575,141.3
BUR2,50144M003,BURNIE AUSTRALIA ,-41.05005556,145.9148611,3.8
CABL,49763M001,CAPE BLANCO OREG ON U,42.83611111,235.4366667,37.8
